Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	NCT04321421 clinical trial	IAO:0000115	Hyperimmune Plasma for Critical Patients With COVID-19 (COV19-PLASMA)
ERROR	duplicate_definition	NCT04321421 clinical trial	IAO:0000115	Hyperimmune Plasma for Critical Patients With COVID-19 (COV19-PLASMA)
ERROR	missing_label	obo:COVOC_0010048	rdfs:label	
ERROR	duplicate_label	NCT04321421 clinical trial	rdfs:label	NCT04321421 clinical trial
ERROR	duplicate_label	NCT04321421 clinical trial	rdfs:label	NCT04321421 clinical trial
WARN	missing_definition	obo:COVOC_0010048	IAO:0000115	
WARN	missing_definition	Calu-3 2B4	IAO:0000115	
WARN	missing_definition	VeroE6	IAO:0000115	
WARN	missing_definition	VeroE6/TMPRSS2	IAO:0000115	
WARN	missing_definition	PER.C6	IAO:0000115	
WARN	missing_definition	47D11	IAO:0000115	
WARN	missing_definition	F26G1	IAO:0000115	
WARN	missing_definition	F26G6	IAO:0000115	
WARN	missing_definition	F26G8	IAO:0000115	
WARN	missing_definition	F26G18	IAO:0000115	
WARN	missing_definition	F26G19	IAO:0000115	
WARN	missing_definition	N-176-15	IAO:0000115	
WARN	missing_definition	S-9-11	IAO:0000115	
WARN	missing_definition	rSN-18	IAO:0000115	
WARN	missing_definition	rSN-21-2	IAO:0000115	
WARN	missing_definition	rSN-29	IAO:0000115	
WARN	missing_definition	rSN-122	IAO:0000115	
WARN	missing_definition	rSN-150	IAO:0000115	
WARN	missing_definition	3CLpro-1	IAO:0000115	
WARN	missing_definition	Adalimumab	IAO:0000115	
WARN	missing_definition	ASC09	IAO:0000115	
WARN	missing_definition	Aviptadil	IAO:0000115	
WARN	missing_definition	Azvudine	IAO:0000115	
WARN	missing_definition	Baloxavir marboxil	IAO:0000115	
WARN	missing_definition	Baricitinib	IAO:0000115	
WARN	missing_definition	Bismuth potassium citrate	IAO:0000115	
WARN	missing_definition	Camrelizumab	IAO:0000115	
WARN	missing_definition	Carriomycin	IAO:0000115	
WARN	missing_definition	CD24Fc	IAO:0000115	
WARN	missing_definition	Danoprevir	IAO:0000115	
WARN	missing_definition	Diammonium glycyrrhizinate	IAO:0000115	
WARN	missing_definition	Eculizumab	IAO:0000115	
WARN	missing_definition	Galidesivir	IAO:0000115	
WARN	missing_definition	inhaled gas	IAO:0000115	
WARN	missing_definition	Interferon alfacon-1	IAO:0000115	
WARN	missing_definition	Jakotinib hydrochloride	IAO:0000115	
WARN	missing_definition	marijuana	IAO:0000115	
WARN	missing_definition	Mepolizumab	IAO:0000115	
WARN	missing_definition	Methylprednisolone	IAO:0000115	
WARN	missing_definition	PD-1 mAb	IAO:0000115	
WARN	missing_definition	Polyinosinic-polycytidylic acid	IAO:0000115	
WARN	missing_definition	rhG-CSF	IAO:0000115	
WARN	missing_definition	Sarilumab	IAO:0000115	
WARN	missing_definition	Thymosin	IAO:0000115	
WARN	missing_definition	Tocilizumab	IAO:0000115	
WARN	missing_definition	Triazavirin	IAO:0000115	
WARN	missing_definition	alcohol sanitizer	IAO:0000115	
WARN	missing_definition	climate conditions	IAO:0000115	
WARN	missing_definition	cluster	IAO:0000115	
WARN	missing_definition	contact tracing	IAO:0000115	
WARN	missing_definition	containment	IAO:0000115	
WARN	missing_definition	control measure	IAO:0000115	
WARN	missing_definition	cross protection	IAO:0000115	
WARN	missing_definition	crucial role	IAO:0000115	
WARN	missing_definition	cumulative number	IAO:0000115	
WARN	missing_definition	current study	IAO:0000115	
WARN	missing_definition	Developing Countries	IAO:0000115	
WARN	missing_definition	drug repurposing	IAO:0000115	
WARN	missing_definition	epicenter	IAO:0000115	
WARN	missing_definition	epidemics	IAO:0000115	
WARN	missing_definition	epidemiological investigation	IAO:0000115	
WARN	missing_definition	expression level	IAO:0000115	
WARN	missing_definition	Geographic Information Systems	IAO:0000115	
WARN	missing_definition	Geographic Locations	IAO:0000115	
WARN	missing_definition	guiding characteristics	IAO:0000115	
WARN	missing_definition	hand sanitizer	IAO:0000115	
WARN	missing_definition	health emergency	IAO:0000115	
WARN	missing_definition	Huanan market	IAO:0000115	
WARN	missing_definition	human health	IAO:0000115	
WARN	missing_definition	human-to-human transmission	IAO:0000115	
WARN	missing_definition	imported case	IAO:0000115	
WARN	missing_definition	infected animal	IAO:0000115	
WARN	missing_definition	intermediate host	IAO:0000115	
WARN	missing_definition	international concern	IAO:0000115	
WARN	missing_definition	large number	IAO:0000115	
WARN	missing_definition	lethality	IAO:0000115	
WARN	missing_definition	masks	IAO:0000115	
WARN	missing_definition	non-social distancing	IAO:0000115	
WARN	missing_definition	permission	IAO:0000115	
WARN	missing_definition	positive rate	IAO:0000115	
WARN	missing_definition	preparedness	IAO:0000115	
WARN	missing_definition	public health emergency	IAO:0000115	
WARN	missing_definition	public health emergency of international concern	IAO:0000115	
WARN	missing_definition	school closures	IAO:0000115	
WARN	missing_definition	Social Distance	IAO:0000115	
WARN	missing_definition	spreaders	IAO:0000115	
WARN	missing_definition	subset	IAO:0000115	
WARN	missing_definition	supplementary information	IAO:0000115	
WARN	missing_definition	surface	IAO:0000115	
WARN	missing_definition	urgent need	IAO:0000115	
WARN	missing_definition	vast majority	IAO:0000115	
WARN	missing_definition	weather changes	IAO:0000115	
WARN	missing_definition	wide range	IAO:0000115	
WARN	missing_definition	lockdown	IAO:0000115	
WARN	missing_definition	human interaction	IAO:0000115	
WARN	missing_definition	Wu Bei	IAO:0000115	
WARN	missing_definition	Hubei	IAO:0000115	
WARN	missing_definition	Middle East	IAO:0000115	
WARN	missing_definition	West Africa	IAO:0000115	
WARN	missing_definition	Wu Han	IAO:0000115	
WARN	missing_definition	continent	IAO:0000115	
WARN	missing_definition	CLEC4M gene	IAO:0000115	
WARN	missing_definition	DPP4 gene	IAO:0000115	
WARN	missing_definition	replicase polyprotein 1a (BtCoV)	IAO:0000115	
WARN	missing_definition	replicase polyprotein 1ab (BtCoV)	IAO:0000115	
WARN	missing_definition	spike glycoprotein (BtCoV)	IAO:0000115	
WARN	missing_definition	haemagglutinin-esterase fusion glycoprotein	IAO:0000115	
INFO	missing_superclass	COVOC Term	rdfs:subClassOf	
