Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	obo:GOMBO_0000102	rdfs:label	has_alternative_id@en
ERROR	duplicate_label	obo:GOMBO_0000103	rdfs:label	has_alternative_id@en
WARN	missing_definition	obo:GOMBO_0000001	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000002	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000003	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000004	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000005	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000006	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000007	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000008	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000009	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000010	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000011	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000012	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000013	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000014	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000015	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000016	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000017	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000018	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000019	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000020	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000021	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000022	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000023	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000024	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000025	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000026	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000027	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000028	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000029	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000030	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000031	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000032	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000033	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000034	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000035	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000036	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000037	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000038	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000039	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000040	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000041	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000042	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000043	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000044	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000045	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000046	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000047	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000048	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000049	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000050	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000051	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000052	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000053	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000054	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000055	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000056	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000057	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000058	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000059	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000060	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000061	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000062	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000063	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000064	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000065	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000066	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000067	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000068	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000069	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000070	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000071	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000072	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000073	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000074	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000075	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000076	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000077	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000078	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000079	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000080	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000081	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000082	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000083	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000085	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000086	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000087	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000088	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000089	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000090	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000091	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000092	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000093	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000094	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000095	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000096	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000097	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000098	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000099	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000100	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000101	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000102	IAO:0000115	
WARN	missing_definition	obo:GOMBO_0000103	IAO:0000115	
INFO	missing_superclass	obo:GOMBO_0000027	rdfs:subClassOf	
INFO	missing_superclass	obo:GOMBO_0000046	rdfs:subClassOf	
INFO	missing_superclass	obo:GOMBO_0000069	rdfs:subClassOf	
