Level	Rule Name	Subject	Property	Value
WARN	missing_definition	root node	IAO:0000115	
WARN	missing_definition	muscle tissue	IAO:0000115	
WARN	missing_definition	visceral muscle tissue	IAO:0000115	
WARN	missing_definition	cardiac muscle tissue	IAO:0000115	
WARN	missing_definition	cellular anatomical entity	IAO:0000115	
WARN	missing_definition	myofilament	IAO:0000115	
WARN	missing_definition	anatomical entity	IAO:0000115	
WARN	missing_definition	immaterial anatomical entity	IAO:0000115	
WARN	missing_definition	material anatomical entity	IAO:0000115	
WARN	missing_definition	skeletal musculature	IAO:0000115	
WARN	missing_definition	molecular entity	IAO:0000115	
WARN	missing_definition	protein	IAO:0000115	
WARN	missing_definition	actin	IAO:0000115	
WARN	missing_definition	myosin	IAO:0000115	
WARN	missing_definition	acellular anatomical structure	IAO:0000115	
WARN	missing_definition	carbohydrate	IAO:0000115	
WARN	missing_definition	chitin	IAO:0000115	
WARN	missing_definition	artery	IAO:0000115	
WARN	missing_definition	antennal artery	IAO:0000115	
WARN	missing_definition	eye artery	IAO:0000115	
WARN	missing_definition	vessel	IAO:0000115	
WARN	missing_definition	cephalic vessel	IAO:0000115	
WARN	missing_definition	pulsatile organ	IAO:0000115	
WARN	missing_definition	mesoscutellar organ	IAO:0000115	
WARN	missing_definition	metascutellar organ	IAO:0000115	
WARN	missing_definition	frontal aortal sac	IAO:0000115	
WARN	missing_definition	aorta	IAO:0000115	
WARN	missing_definition	heart	IAO:0000115	
WARN	missing_definition	dorsal vessel	IAO:0000115	
WARN	missing_definition	ostium	IAO:0000115	
WARN	missing_definition	galeal trachea	IAO:0000115	
WARN	missing_definition	tracheal system	IAO:0000115	
WARN	missing_definition	ventral head trunk	IAO:0000115	
WARN	missing_definition	labial palp trachea	IAO:0000115	
WARN	missing_definition	antennal trachea	IAO:0000115	
WARN	missing_definition	frontal air sac	IAO:0000115	
WARN	missing_definition	optical air sac	IAO:0000115	
WARN	missing_definition	dorsal head trunk	IAO:0000115	
WARN	missing_definition	lateral head trunk	IAO:0000115	
WARN	missing_definition	leg trachea	IAO:0000115	
WARN	missing_definition	longitudinal connecting trunk	IAO:0000115	
WARN	missing_definition	flight muscle trunk	IAO:0000115	
WARN	missing_definition	dorsal air sac	IAO:0000115	
WARN	missing_definition	dorsal tracheal trunk	IAO:0000115	
WARN	missing_definition	cerebral trachea	IAO:0000115	
WARN	missing_definition	anterior tracheal trunk	IAO:0000115	
WARN	missing_definition	pleural tracheal trunk	IAO:0000115	
WARN	missing_definition	ventral tracheal trunk	IAO:0000115	
WARN	missing_definition	midgut	IAO:0000115	
WARN	missing_definition	foregut	IAO:0000115	
WARN	missing_definition	hindgut	IAO:0000115	
WARN	missing_definition	tissue	IAO:0000115	
WARN	missing_definition	epithelium	IAO:0000115	
WARN	missing_definition	stomodaeal epithelium	IAO:0000115	
WARN	missing_definition	valve	IAO:0000115	
WARN	missing_definition	stomodaeal valve	IAO:0000115	
WARN	missing_definition	ingluvies	IAO:0000115	
WARN	missing_definition	oesophagus	IAO:0000115	
WARN	missing_definition	pharynx	IAO:0000115	
WARN	missing_definition	oesophageal valve	IAO:0000115	
