Level	Rule Name	Subject	Property	Value
WARN	missing_definition	Mouse Gnai3	IAO:0000115	
WARN	missing_definition	Mouse Pbsn	IAO:0000115	
WARN	missing_definition	Mouse Cdc45	IAO:0000115	
WARN	missing_definition	Mouse H19	IAO:0000115	
WARN	missing_definition	Mouse Scml2	IAO:0000115	
WARN	missing_definition	Mouse Apoh	IAO:0000115	
WARN	missing_definition	Mouse Narf	IAO:0000115	
WARN	missing_definition	Mouse Cav2	IAO:0000115	
WARN	missing_definition	Mouse Klf6	IAO:0000115	
WARN	missing_definition	Mouse Scmh1	IAO:0000115	
WARN	missing_definition	Mouse Cox5a	IAO:0000115	
WARN	missing_definition	Mouse Tbx2	IAO:0000115	
WARN	missing_definition	Mouse Tbx4	IAO:0000115	
WARN	missing_definition	Mouse Zfy2	IAO:0000115	
WARN	missing_definition	Mouse Ngfr	IAO:0000115	
WARN	missing_definition	Mouse Wnt3	IAO:0000115	
WARN	missing_definition	Mouse Wnt9a	IAO:0000115	
WARN	missing_definition	Mouse Fer	IAO:0000115	
WARN	missing_definition	Mouse Xpo6	IAO:0000115	
WARN	missing_definition	Mouse Tfe3	IAO:0000115	
WARN	missing_definition	Mouse Axin2	IAO:0000115	
WARN	missing_definition	Mouse Brat1	IAO:0000115	
WARN	missing_definition	Mouse Gna12	IAO:0000115	
WARN	missing_definition	Mouse Slc22a18	IAO:0000115	
WARN	missing_definition	Mouse Itgb2l	IAO:0000115	
WARN	missing_definition	Mouse Igsf5	IAO:0000115	
WARN	missing_definition	Mouse Pih1d2	IAO:0000115	
WARN	missing_definition	Mouse Dlat	IAO:0000115	
WARN	missing_definition	Mouse Sdhd	IAO:0000115	
WARN	missing_definition	Mouse Fgf23	IAO:0000115	
WARN	missing_definition	Mouse Fgf6	IAO:0000115	
WARN	missing_definition	Mouse Ccnd2	IAO:0000115	
WARN	missing_definition	Mouse Gpr107	IAO:0000115	
WARN	missing_definition	Mouse Nalcn	IAO:0000115	
WARN	missing_definition	Mouse Btbd17	IAO:0000115	
WARN	missing_definition	Mouse Slfn4	IAO:0000115	
WARN	missing_definition	Mouse Th	IAO:0000115	
WARN	missing_definition	Mouse Ins2	IAO:0000115	
WARN	missing_definition	Mouse Scnn1g	IAO:0000115	
WARN	missing_definition	Mouse Drp2	IAO:0000115	
WARN	missing_definition	Mouse Tspan32	IAO:0000115	
WARN	missing_definition	Mouse Lhx2	IAO:0000115	
WARN	missing_definition	Mouse Clec2g	IAO:0000115	
WARN	missing_definition	Mouse Gmpr	IAO:0000115	
WARN	missing_definition	Mouse Glra1	IAO:0000115	
WARN	missing_definition	Mouse Mid2	IAO:0000115	
WARN	missing_definition	Mouse Trim25	IAO:0000115	
WARN	missing_definition	Mouse Dgke	IAO:0000115	
WARN	missing_definition	Mouse Scpep1	IAO:0000115	
WARN	missing_definition	Mouse Mnt	IAO:0000115	
WARN	missing_definition	Mouse Itgb2	IAO:0000115	
WARN	missing_definition	Mouse Hddc2	IAO:0000115	
WARN	missing_definition	Mouse Tpd52l1	IAO:0000115	
WARN	missing_definition	Mouse Pemt	IAO:0000115	
WARN	missing_definition	Mouse Cdh1	IAO:0000115	
WARN	missing_definition	Mouse Cdh4	IAO:0000115	
WARN	missing_definition	Mouse Ckmt1	IAO:0000115	
WARN	missing_definition	Mouse Bcl6b	IAO:0000115	
WARN	missing_definition	Mouse Clec10a	IAO:0000115	
WARN	missing_definition	Mouse Alox12	IAO:0000115	
WARN	missing_definition	Mouse Arvcf	IAO:0000115	
WARN	missing_definition	Mouse Comt	IAO:0000115	
WARN	missing_definition	Mouse Rtca	IAO:0000115	
WARN	missing_definition	Mouse Dbt	IAO:0000115	
WARN	missing_definition	Mouse Dazap2	IAO:0000115	
WARN	missing_definition	Mouse Mcts1	IAO:0000115	
WARN	missing_definition	Mouse Rem1	IAO:0000115	
WARN	missing_definition	Mouse Rnf17	IAO:0000115	
WARN	missing_definition	Mouse Trappc10	IAO:0000115	
WARN	missing_definition	Mouse Ccm2	IAO:0000115	
WARN	missing_definition	Mouse Wap	IAO:0000115	
WARN	missing_definition	Mouse Tbrg4	IAO:0000115	
WARN	missing_definition	Mouse Tmprss2	IAO:0000115	
WARN	missing_definition	Mouse Mx1	IAO:0000115	
WARN	missing_definition	Mouse Fap	IAO:0000115	
WARN	missing_definition	Mouse Gcg	IAO:0000115	
WARN	missing_definition	Mouse Ndufa9	IAO:0000115	
WARN	missing_definition	Mouse Egfl6	IAO:0000115	
WARN	missing_definition	Mouse Lck	IAO:0000115	
WARN	missing_definition	Mouse Tssk3	IAO:0000115	
WARN	missing_definition	Mouse Cttnbp2	IAO:0000115	
WARN	missing_definition	Mouse Galnt1	IAO:0000115	
WARN	missing_definition	Mouse Myf5	IAO:0000115	
WARN	missing_definition	Mouse Mkrn2	IAO:0000115	
WARN	missing_definition	Mouse Pparg	IAO:0000115	
WARN	missing_definition	Mouse Raf1	IAO:0000115	
WARN	missing_definition	Mouse Sept1	IAO:0000115	
WARN	missing_definition	Mouse Pdgfb	IAO:0000115	
WARN	missing_definition	Mouse Acvrl1	IAO:0000115	
WARN	missing_definition	Mouse Grasp	IAO:0000115	
WARN	missing_definition	Mouse Acvr1b	IAO:0000115	
WARN	missing_definition	Mouse Tom1l2	IAO:0000115	
WARN	missing_definition	Mouse Gpa33	IAO:0000115	
WARN	missing_definition	Mouse Zfp385a	IAO:0000115	
WARN	missing_definition	Mouse Itga5	IAO:0000115	
WARN	missing_definition	Mouse Gabra2	IAO:0000115	
WARN	missing_definition	Mouse Wdr77	IAO:0000115	
WARN	missing_definition	Mouse Adora3	IAO:0000115	
WARN	missing_definition	Mouse Atp5f1	IAO:0000115	
WARN	missing_definition	Mouse Sox9	IAO:0000115	
WARN	missing_definition	Mouse Hnrnpd	IAO:0000115	
WARN	missing_definition	Mouse Dynlt1c	IAO:0000115	
WARN	missing_definition	Mouse C1d	IAO:0000115	
WARN	missing_definition	Mouse Gm2a	IAO:0000115	
WARN	missing_definition	Mouse Krit1	IAO:0000115	
WARN	missing_definition	Mouse Clcn4	IAO:0000115	
WARN	missing_definition	Mouse Vmn2r88	IAO:0000115	
WARN	missing_definition	Mouse Grm6	IAO:0000115	
WARN	missing_definition	Mouse Sema4f	IAO:0000115	
WARN	missing_definition	Mouse Hk2	IAO:0000115	
WARN	missing_definition	Mouse Myo18a	IAO:0000115	
WARN	missing_definition	Mouse Sez6	IAO:0000115	
WARN	missing_definition	Mouse Haao	IAO:0000115	
