Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/vvo.owl	dc:license	
WARN	duplicate_exact_synonym	obo:VVO_0000032	IAO:0000118	Äpfelsäure-Abbau@de
WARN	duplicate_exact_synonym	obo:VVO_0001645	IAO:0000118	Äpfelsäure-Abbau@de
WARN	duplicate_exact_synonym	obo:VVO_0001655	IAO:0000118	Äpfelsäure-Abbau@de
WARN	duplicate_exact_synonym	obo:VVO_0000852	IAO:0000118	Zygoten-Spaltung@de
WARN	duplicate_exact_synonym	obo:VVO_0003332	IAO:0000118	Zygoten-Spaltung@de
WARN	duplicate_exact_synonym	obo:VVO_0000825	IAO:0000118	zygote formation@en
WARN	duplicate_exact_synonym	obo:VVO_0000945	IAO:0000118	zygote formation@en
WARN	duplicate_exact_synonym	obo:VVO_0000852	IAO:0000118	zygote cleavage@en
WARN	duplicate_exact_synonym	obo:VVO_0003332	IAO:0000118	zygote cleavage@en
WARN	duplicate_exact_synonym	obo:VVO_0000180	IAO:0000118	Zulassungsdatum@de
WARN	duplicate_exact_synonym	obo:VVO_0000468	IAO:0000118	Zulassungsdatum@de
WARN	duplicate_exact_synonym	obo:VVO_0002848	IAO:0000118	Zuckergehalt@de
WARN	duplicate_exact_synonym	obo:VVO_0002852	IAO:0000118	Zuckergehalt@de
WARN	duplicate_exact_synonym	obo:VVO_0000350	IAO:0000118	Zucker-Säure-Verhältnis@de
WARN	duplicate_exact_synonym	obo:VVO_0002846	IAO:0000118	Zucker-Säure-Verhältnis@de
WARN	duplicate_exact_synonym	obo:VVO_0002878	IAO:0000118	Zucker-Säure-Verhältnis@de
WARN	duplicate_exact_synonym	obo:VVO_0002845	IAO:0000118	Zucker-Säure-Gleichgewicht@de
WARN	duplicate_exact_synonym	obo:VVO_0002878	IAO:0000118	Zucker-Säure-Gleichgewicht@de
WARN	duplicate_exact_synonym	obo:VVO_0000344	IAO:0000118	Zuchtselektion@de
WARN	duplicate_exact_synonym	obo:VVO_0002606	IAO:0000118	Zuchtselektion@de
